policy,produced_t,potential_t,recovery_pct,deferred_t,n_failures,n_jobs,rig_days_used,rig_utilisation_pct,t_per_rig_day,well_down_days,rep,marginal_t,marginal_t_per_rig_day
do_nothing,278281.13664954965,428611.2168634359,64.92623750866873,150330.08021388628,114,0,0.0,0.0,278281136649549.62,0.0,0,0.0,
reactive,302761.86241383443,428611.2168634359,70.63787658882022,125849.3544496015,122,109,490.5,44.794520547945204,617.2515033921192,427.0,0,24480.725764284784,49.90973652249701
calendar,314223.3335856959,428611.2168634359,73.31197160101708,114387.88327774004,111,204,668.0,61.00456621004566,470.39421195463456,511.0,0,35942.19693614624,53.80568403614706
rate_first,303249.0195718981,428611.2168634359,70.75153604029903,125362.19729153783,122,109,490.5,44.794520547945204,618.2446882199757,427.0,0,24967.88292234845,50.902921350353616
prahari,356224.38057021674,428611.2168634359,83.11130613357628,72386.83629321918,28,533,1091.0,99.63470319634703,326.5118062055149,562.0,0,77943.2439206671,71.44202009227048
do_nothing,266861.3067112167,412656.180593314,64.6691650970853,145794.8738820973,118,0,0.0,0.0,266861306711216.7,0.0,1,0.0,
reactive,292786.01203019154,412656.180593314,70.95156350481071,119870.16856312245,133,122,549.0,50.136986301369866,533.3078543355037,478.0,1,25924.705318974855,47.22168546261358
calendar,302326.2207701948,412656.180593314,73.26346604951182,110329.95982311922,117,192,676.5,61.78082191780822,446.89759167804107,537.0,1,35464.91405897809,52.42411538651602
rate_first,293857.3735097141,412656.180593314,71.2111892004642,118798.80708359991,133,122,549.0,50.136986301369866,535.2593324402807,478.0,1,26996.0667984974,49.173163567390525
prahari,341622.6081266774,412656.180593314,82.78625746874674,71033.5724666366,42,516,1089.5,99.49771689497717,313.55907124981866,579.0,1,74761.30141546071,68.61982690726086
do_nothing,261398.70495859598,399900.162599716,65.36599116621154,138501.45764112,104,0,0.0,0.0,261398704958595.97,0.0,2,0.0,
reactive,286633.0598665962,399900.162599716,71.67615486906026,113267.1027331198,108,102,459.0,41.917808219178085,624.4728973128457,404.0,2,25234.354908000212,54.97680807843184
calendar,293141.31964573445,399900.162599716,73.3036260200667,106758.84295398154,98,205,647.5,59.1324200913242,452.7279067887791,485.0,2,31742.61468713847,49.023343146159796
rate_first,286548.7579629384,399900.162599716,71.65507413153072,113351.40463677759,108,102,459.0,41.917808219178085,624.2892330347241,404.0,2,25150.053004342422,54.79314380031029
prahari,332081.1494555703,399900.162599716,83.04101386124472,67819.01314414566,29,523,1091.0,99.63470319634703,304.3823551380113,572.0,2,70682.44449697435,64.78684188540271
do_nothing,255577.12375902265,398772.3286485847,64.09098761319724,143195.20488956207,102,0,0.0,0.0,255577123759022.62,0.0,3,0.0,
reactive,278168.5941221401,398772.3286485847,69.75624288295946,120603.73452644463,113,107,481.5,43.97260273972603,577.7125526939566,422.0,3,22591.470363117434,46.918941564106824
calendar,291302.4546430322,398772.3286485847,73.04981657835653,107469.8740055525,83,223,653.5,59.68036529680365,445.757390425451,472.0,3,35725.33088400957,54.66768306657929
rate_first,279157.3342956108,398772.3286485847,70.00418891693366,119614.99435297394,113,107,481.5,43.97260273972603,579.7660109981532,422.0,3,23580.21053658813,48.972399868303484
prahari,332233.64897238597,398772.3286485847,83.31411813309758,66538.67967619875,25,535,1092.5,99.77168949771689,304.1040265193464,560.0,3,76656.52521336332,70.16615580170556
do_nothing,285610.3023515285,444301.9630118213,64.28292605673889,158691.66066029284,120,0,0.0,0.0,285610302351528.5,0.0,4,0.0,
reactive,313566.40839167207,444301.9630118213,70.57506707061953,130735.55462014925,127,122,549.0,50.136986301369866,571.1592138281823,483.0,4,27956.106040143583,50.9218689255803
calendar,320345.145357133,444301.9630118213,72.1007720032535,123956.81765468832,112,181,637.0,58.17351598173516,502.89661751512244,509.0,4,34734.84300560452,54.528795927165646
rate_first,315177.10488340573,444301.9630118213,70.93759000002886,129124.8581284156,127,122,549.0,50.136986301369866,574.0930872193182,483.0,4,29566.80253187724,53.85574231671629
prahari,368294.23201119545,444301.9630118213,82.89277623592142,76007.73100062588,31,531,1089.5,99.49771689497717,338.0396805977012,564.0,4,82683.92965966696,75.89162887532534
do_nothing,260709.94811685002,409160.7379985338,63.7182221813727,148450.7898816838,117,0,0.0,0.0,260709948116850.0,0.0,5,0.0,
reactive,289686.71591745235,409160.7379985338,70.80022324099201,119474.02208108146,123,113,508.5,46.43835616438356,569.6887235348129,448.0,5,28976.767800602334,56.984794101479515
calendar,297332.3375220682,409160.7379985338,72.66883400800143,111828.40047646564,108,194,645.5,58.949771689497716,460.62329592884305,498.0,5,36622.38940521816,56.73491774627135
rate_first,290357.9076252882,409160.7379985338,70.9642643244838,118802.83037324564,123,113,508.5,46.43835616438356,571.0086678963386,448.0,5,29647.959508438158,58.30473846300523
prahari,339059.43738227995,409160.7379985338,82.86705098852738,70101.30061625387,39,517,1086.5,99.22374429223744,312.0657500067004,578.0,5,78349.48926542993,72.11181708737223
do_nothing,278914.41383375844,417521.13274477515,66.80246626085271,138606.7189110167,104,0,0.0,0.0,278914413833758.44,0.0,6,0.0,
reactive,303975.12988790934,417521.13274477515,72.80472916175121,113546.00285686582,124,121,544.5,49.726027397260275,558.2647013552054,474.0,6,25060.716054150893,46.0251901820953
calendar,313626.7661523154,417521.13274477515,75.11638131716583,103894.36659245973,105,208,678.5,61.9634703196347,462.2354696423219,517.0,6,34712.35231855698,51.16043083059245
rate_first,304512.28364134097,417521.13274477515,72.93338223133368,113008.84910343419,124,121,544.5,49.726027397260275,559.2512096259705,474.0,6,25597.869807582523,47.011698452860465
prahari,347388.99566008383,417521.13274477515,83.20273356616846,70132.13708469132,43,515,1085.0,99.08675799086758,320.17418954846437,580.0,6,68474.58182632539,63.11021366481603
do_nothing,280623.15927594696,436838.522026254,64.23956339159153,156215.36275030702,116,0,0.0,0.0,280623159275946.94,0.0,7,0.0,
reactive,310146.02566674986,436838.522026254,70.99786535037083,126692.49635950412,121,117,526.5,48.082191780821915,589.0712738209874,461.0,7,29522.866390802898,56.07382030541861
calendar,319044.49440781417,436838.522026254,73.03488092761188,117794.02761843981,108,190,647.5,59.1324200913242,492.7328098962381,506.0,7,38421.33513186721,59.33796931562503
rate_first,310795.57003685663,436838.522026254,71.1465574499352,126042.95198939735,121,117,526.5,48.082191780821915,590.3049763283127,461.0,7,30172.410760909668,57.30752281274391
prahari,363250.0147895777,436838.522026254,83.15429992406814,73588.50723667629,38,525,1090.0,99.54337899543378,333.25689430236486,570.0,7,82626.85551363073,75.80445459966121
do_nothing,265464.63333928667,405255.43548070366,65.5055084022252,139790.802141417,113,0,0.0,0.0,265464633339286.66,0.0,8,0.0,
reactive,288491.25887848454,405255.43548070366,71.18751128810489,116764.17660221912,119,111,499.5,45.61643835616438,577.5600778348039,440.0,8,23026.625539197878,46.09935042882458
calendar,298762.56658307917,405255.43548070366,73.72203810880282,106492.86889762449,93,211,654.5,59.77168949771689,456.4745096762096,489.0,8,33297.933243792504,50.87537546797938
rate_first,289395.1762797313,405255.43548070366,71.4105600919228,115860.25920097233,119,111,499.5,45.61643835616438,579.3697222817444,440.0,8,23930.542940444662,47.90899487576509
prahari,337760.5298561009,405255.43548070366,83.34509553350172,67494.90562460275,32,524,1090.5,99.58904109589041,309.72996777267394,571.0,8,72295.89651681425,66.29609951106303
do_nothing,268187.9198453213,416404.77019251394,64.40558299111981,148216.85034719267,114,0,0.0,0.0,268187919845321.25,0.0,9,0.0,
reactive,292206.00794040214,416404.77019251394,70.17354959822104,124198.7622521118,121,113,508.5,46.43835616438356,574.643083461951,448.0,9,24018.088095080864,47.23321159307938
calendar,303154.09979905136,416404.77019251394,72.80274422862541,113250.67039346258,103,198,651.0,59.45205479452055,465.67450045937227,496.0,9,34966.17995373008,53.711489944285844
rate_first,293124.0462649666,416404.77019251394,70.39401737147448,123280.72392754734,121,113,508.5,46.43835616438356,576.4484685643395,448.0,9,24936.126419645327,49.0385966954677
prahari,344163.90003286675,416404.77019251394,82.65128660119612,72240.8701596472,44,518,1086.0,99.17808219178082,316.90966853855133,577.0,9,75975.98018754547,69.95946610271223
do_nothing,289607.61468892125,443317.7373570423,65.32732401268102,153710.12266812107,110,0,0.0,0.0,289607614688921.25,0.0,10,0.0,
reactive,315933.3974911971,443317.7373570423,71.26567941420952,127384.33986584522,116,112,504.0,46.02739726027397,626.8519791492006,447.0,10,26325.782802275848,52.233696036261605
calendar,325318.05123737775,443317.7373570423,73.3825930757584,117999.68611966458,99,207,659.0,60.182648401826484,493.6540989945034,498.0,10,35710.43654845649,54.18882632542715
rate_first,316487.51515214844,443317.7373570423,71.39067275741633,126830.22220489389,116,112,504.0,46.02739726027397,627.9514189526755,447.0,10,26879.900463227183,53.33313583973647
prahari,369431.36370816955,443317.7373570423,83.33331436513994,73886.37364887277,30,532,1091.5,99.68036529680366,338.4620831041407,563.0,10,79823.7490192483,73.13215668277444
do_nothing,260955.31457448992,412423.2127782696,63.27367288969423,151467.89820377968,114,0,0.0,0.0,260955314574489.9,0.0,11,0.0,
reactive,289373.274010586,412423.2127782696,70.1641578467993,123049.93876768358,134,124,558.0,50.95890410958904,518.5900967931649,489.0,11,28417.959436096105,50.92824271701811
calendar,297600.1379914968,412423.2127782696,72.15892044163263,114823.07478677278,126,184,675.5,61.68949771689498,440.5627505425564,544.0,11,36644.823417006904,54.248443252415846
rate_first,290463.68623459805,412423.2127782696,70.4285494208493,121959.52654367156,134,124,558.0,50.95890410958904,520.5442405637958,489.0,11,29508.371660108125,52.88238648764897
prahari,341036.3531440437,412423.2127782696,82.69087252549834,71386.8596342259,43,519,1090.5,99.58904109589041,312.7339322733092,576.0,11,80081.03856955378,73.43515687258486
